listing_id,date
17673946,2018-10-21
17673946,2018-11-12
17673946,2018-11-18
17673946,2018-11-25
17673946,2018-12-02
17673946,2018-12-09
17673946,2019-01-29
17673946,2019-02-04
17673946,2019-02-12
17673946,2019-02-24
17673946,2019-04-15
17673946,2019-04-21
17673946,2019-04-25
17673946,2019-04-28
17673946,2019-05-03
17673946,2019-05-05
17673946,2019-05-10
17673946,2019-05-14
17673946,2019-05-18
17673946,2019-05-22
17673946,2019-06-16
17673946,2019-06-20
17673946,2019-06-30
17673946,2019-07-11
17673946,2019-07-18
17673946,2019-07-29
17673946,2019-08-15
17673946,2019-08-17
17673946,2019-08-19
17673946,2019-08-21
17673946,2019-08-24
17673946,2019-09-01
17673946,2019-09-08
17673946,2019-09-13
17673946,2019-09-15
17673946,2019-09-22
17673946,2019-09-29
17673946,2019-10-03
17673946,2019-10-06
17673946,2019-10-16
17673946,2019-10-26
17673946,2019-10-30
17673946,2019-11-03
17673946,2019-11-12
17673946,2019-11-17
17673946,2019-12-02
17673946,2019-12-08
17673946,2019-12-18
17673946,2019-12-24
17673946,2020-01-02
17673946,2020-01-12
17673946,2020-01-20
17673946,2020-01-26
17673946,2020-02-02
17673946,2020-02-09
17673946,2020-02-18
17673946,2020-02-24
17673946,2020-03-01
17673946,2020-03-15
17673946,2021-05-16
17673946,2021-05-23
17673946,2021-06-06
17673946,2021-06-13
17673946,2021-06-20
17673946,2021-06-28
17673946,2021-07-25
17673946,2021-08-13
17673946,2021-09-12
17673946,2021-09-28
17673946,2021-10-05
17673946,2021-10-17
17673946,2021-10-26
17673946,2021-11-03
17673946,2021-11-06
17673946,2021-11-14
17673946,2021-11-21
17673946,2021-11-28
17673946,2021-12-08
17673946,2021-12-12
17673946,2021-12-25
17673946,2021-12-29
17673946,2022-01-02
17673946,2022-01-07
17673946,2022-01-23
17673946,2022-02-13
17673946,2022-02-20
17673946,2022-02-27
17673946,2022-03-04
17673946,2022-03-06
17673946,2022-03-20
17673946,2022-03-24
17673946,2022-03-28
17673946,2022-04-03
17673946,2022-04-13
17673946,2022-04-24
17673946,2022-05-08
17673946,2022-05-23
17673946,2022-06-06
17673946,2022-06-10
17673946,2022-06-12
17673946,2022-06-15
17673946,2022-06-19
17673946,2022-06-26
17673946,2022-07-08
17673946,2022-07-17
17673946,2022-08-07
17673946,2022-08-09
17673946,2022-09-12
17673946,2022-09-16
17673946,2022-09-18
17673946,2022-09-22
17673946,2022-10-02
17673946,2022-10-06
17673946,2022-10-16
17673946,2022-10-24
17673946,2022-10-31
17673946,2022-11-06
17673946,2022-11-13
17673946,2022-11-18
17673946,2022-11-20
17673946,2022-11-23
17673946,2022-11-29
17673946,2022-12-11
17673946,2022-12-22
17673946,2022-12-30
17673946,2023-01-02
17673946,2023-01-04
17673946,2023-01-08
17673946,2023-02-01
17673946,2023-02-06
17673946,2023-02-21
17673946,2023-02-26
17673946,2023-03-05
17673946,2023-03-19
17673946,2023-03-26
17673946,2023-04-11
17673946,2023-04-18
17673946,2023-04-21
17673946,2023-04-26
17673946,2023-05-01
17673946,2023-05-05
17673946,2023-05-08
17673946,2023-05-14
17673946,2023-05-29
17673946,2023-06-02
17673946,2023-06-06
17673946,2023-06-09
17673946,2023-06-19
17673946,2023-06-27
17673946,2023-07-15
17673946,2023-07-25
17673946,2023-08-17
17673946,2023-08-28
17673946,2023-09-24
17673946,2023-09-28
17673946,2023-10-01
17673946,2023-10-09
17673946,2023-10-23
17673946,2023-10-25
17673946,2023-11-16
17673946,2023-11-19
17673946,2023-12-03
17673946,2023-12-25
17673946,2024-01-05
17673946,2024-01-28
17673946,2024-02-16
17673946,2024-02-18
17673946,2024-02-26
17673946,2024-03-03
17673946,2024-03-17
17673946,2024-03-29
17673946,2024-04-07
17673946,2024-04-17
17673946,2024-04-21
17673946,2024-05-03
17673946,2024-05-06
17673946,2024-05-20
17673946,2024-05-28
17673946,2024-05-30
17673946,2024-06-01
17673946,2024-06-09
17673946,2024-06-16
17673946,2024-06-20
17673946,2024-07-01
17673946,2024-07-07
17673946,2024-08-08
17673946,2024-08-12
17673946,2024-08-17
17673946,2024-08-19
17673946,2024-08-25
17673946,2024-09-08
17673946,2024-09-15
17673946,2024-09-26
17673946,2024-09-30
17673946,2024-10-06
17673946,2024-10-15
17673946,2024-11-11
17673946,2024-11-17
17673946,2024-11-24
17673946,2024-11-28
17673946,2024-12-08
17673946,2024-12-15
17681066,2017-05-21
17681066,2017-09-11
17681066,2017-09-16
17681066,2017-09-24
17681066,2017-10-07
17681066,2017-10-15
17681066,2017-10-31
17681066,2017-12-10
17681066,2018-02-15
17681066,2018-03-03
17681066,2018-03-09
17681066,2018-04-12
17681066,2018-04-14
17681066,2018-05-26
17681066,2018-05-30
17681066,2018-06-13
17681066,2019-05-20
17681066,2019-09-20
17681066,2019-11-08
17681066,2019-12-07
17681066,2019-12-14
17681066,2020-02-06
17681066,2020-02-16
17681066,2020-02-20
17681066,2020-08-16
17681066,2021-10-28
17681066,2021-11-27
17681066,2022-06-24
17681066,2022-08-28
17681066,2022-09-27
17681066,2022-10-11
17681066,2023-03-03
17681066,2023-03-08
17681066,2023-03-27
17681066,2023-04-22
17681066,2023-06-10
17681066,2023-09-07
17681066,2023-09-15
17681066,2023-09-26
17681066,2023-10-07
17681066,2023-10-14
17681066,2023-10-18
17681066,2023-10-23
17681066,2023-11-07
17681066,2023-11-24
17681066,2024-01-14
17681066,2024-01-24
17681066,2024-02-02
17681066,2024-02-20
17681066,2024-04-23
17681066,2024-05-22
17681066,2024-09-01
17681066,2024-10-31
17681066,2024-11-05
17681066,2024-12-01
17685730,2017-04-15
17685730,2017-09-15
17685730,2017-10-14
17685730,2017-10-19
17685730,2017-12-10
17685730,2017-12-29
17685730,2018-01-01
17685730,2018-03-27
17685730,2018-04-01
17685730,2018-04-03
17685730,2018-04-29
17685730,2018-05-04
17685730,2018-09-15
17685730,2018-10-14
17685730,2018-11-01
17685730,2018-11-05
17685730,2019-03-23
17685730,2019-04-09
17685730,2019-04-13
17685730,2019-05-03
17685730,2019-05-05
17685730,2019-05-10
17685730,2019-05-17
17685730,2019-05-19
17685730,2019-05-26
17685730,2019-06-02
17685730,2019-06-08
17685730,2019-09-10
17685730,2019-09-22
17685730,2019-10-05
17685730,2019-10-08
17685730,2019-10-15
17685730,2019-10-26
17685730,2019-11-05
17685730,2019-11-16
17685730,2019-12-09
17685730,2019-12-30
17685730,2021-08-14
17685730,2021-09-27
17685730,2021-10-10
17685730,2021-10-25
17685730,2021-11-06
17685730,2021-12-06
17685730,2022-02-27
17685730,2022-03-20
17685730,2022-03-28
17685730,2022-03-31
17685730,2022-04-05
17685730,2022-04-11
17685730,2022-04-15
17685730,2022-04-17
17685730,2022-04-25
17685730,2022-05-02
17685730,2022-05-10
17685730,2022-05-22
17685730,2022-06-03
17685730,2022-06-06
17685730,2022-06-11
17685730,2022-09-08
17685730,2022-10-19
17685730,2022-10-22
17685730,2022-10-24
17685730,2023-02-14
17685730,2023-02-19
17943249,2022-01-06
17943249,2022-01-12
17943249,2022-01-16
17943249,2022-01-22
17943249,2022-01-28
17943249,2022-02-01
17943249,2022-02-06
17943249,2022-02-21
17943249,2022-02-24
17943249,2022-02-28
17943249,2022-03-04
17943249,2022-03-06
17943249,2022-03-10
17943249,2022-03-27
17943249,2022-04-01
17943249,2022-04-03
17943249,2022-04-19
17943249,2022-04-20
17943249,2022-04-23
17943249,2022-05-01
17943249,2022-05-13
17943249,2022-05-19
17943249,2022-05-29
17943249,2022-06-02
17943249,2022-06-06
17943249,2022-06-13
17943249,2022-06-18
17943249,2022-07-01
17943249,2022-07-03
17943249,2022-07-04
17943249,2022-07-06
17943249,2022-07-09
17943249,2022-07-13
17943249,2022-07-17
17943249,2022-07-24
17943249,2022-07-28
17943249,2022-08-03
17943249,2022-08-05
17943249,2022-08-21
17943249,2022-08-26
17943249,2022-08-28
17943249,2022-08-30
17943249,2022-09-06
17943249,2022-09-09
17943249,2022-09-12
17943249,2022-09-20
17943249,2022-09-24
17943249,2022-09-26
17943249,2022-09-29
17943249,2022-10-03
17943249,2022-10-09
17943249,2022-10-11
17943249,2022-10-16
17943249,2022-10-25
17943249,2022-10-27
17943249,2022-11-02
17943249,2022-11-10
17943249,2022-11-14
17943249,2022-11-23
17943249,2022-11-27
17943249,2022-12-13
17943249,2022-12-31
17943249,2023-01-05
17943249,2023-01-11
17943249,2023-01-15
17943249,2023-01-21
17943249,2023-01-24
17943249,2023-01-28
17943249,2023-01-30
17943249,2023-02-03
17943249,2023-02-11
17943249,2023-02-18
17943249,2023-02-21
17943249,2023-03-12
17943249,2023-03-17
17943249,2023-03-19
17943249,2023-03-25
17943249,2023-03-26
17943249,2023-04-01
17943249,2023-04-11
17943249,2023-04-14
17943249,2023-04-17
17943249,2023-05-02
17943249,2023-05-14
17943249,2023-05-18
17943249,2023-05-25
17943249,2023-05-30
17943249,2023-06-05
17943249,2023-06-12
17943249,2023-06-14
17943249,2023-06-16
17943249,2023-06-19
17943249,2023-07-04
17943249,2023-07-21
17943249,2023-07-28
17943249,2023-08-06
17943249,2023-08-13
17943249,2023-08-15
17943249,2023-08-19
17943249,2023-08-23
17943249,2023-08-28
17943249,2023-09-06
17943249,2023-09-10
17943249,2023-09-17
17943249,2023-09-20
17943249,2023-09-29
17943249,2023-10-02
17943249,2023-10-16
17943249,2023-10-23
17943249,2023-10-26
17943249,2023-11-01
17943249,2023-11-03
17943249,2023-11-05
17943249,2023-11-08
17943249,2023-11-09
17943249,2023-11-13
17943249,2023-11-19
17943249,2023-11-20
17943249,2023-11-27
17943249,2023-12-03
17943249,2023-12-09
17943249,2023-12-18
17943249,2023-12-21
17943249,2023-12-27
17943249,2023-12-31
17943249,2024-01-03
17943249,2024-01-05
17943249,2024-01-10
17943249,2024-01-14
17943249,2024-01-20
17943249,2024-01-31
17943249,2024-02-11
17943249,2024-02-18
17943249,2024-02-23
17943249,2024-02-25
17943249,2024-03-05
17943249,2024-04-05
17943249,2024-04-14
17943249,2024-04-25
17943249,2024-04-29
