id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,nombre,valoracion,bedrooms,beds,baths
5065514,Rental unit in Sevilla · 4.74 · 1 bedroom · 1 bed · 1 shared bath,26157318,Ignacio And Carmen,Nervión,an Roque,37.38904,-5.98301,Private room,37.0,2,401,2023-12-14,4.43,2,35,42,VFT/SE/01285,Rental unit in Sevilla,4.74,1,1,1
735319104374053155,Rental unit in Sevilla · 3.25 · 3 bedrooms · 3 beds · 1 bath,170512874,Esther,Macarena,"León XIII, Los Naranjos",37.4034,-5.98308,Entire home/apt,160.0,1,4,2023-06-04,0.28,92,344,3,VFT/SE/09700,Rental unit in Sevilla,3.25,3,3,1
1023049656089154353,Guesthouse in Sevilla · New · 1 bedroom · 1 bed · 1 bath,101478637,Clara,Macarena,"León XIII, Los Naranjos",37.404041,-5.9844638,Entire home/apt,84.0,2,1,2023-12-10,1.0,1,265,1,VFT/SE/10410,Guesthouse in Sevilla,,,1,1
30709223,Rental unit in Sevilla · 1 bedroom · 2 beds · 1 bath,2705030,Francisco,Casco Antiguo,Museo,37.39168,-6.00008,Entire home/apt,160.0,4,2,2019-05-06,0.03,9,61,0,CTC-2018201438,Rental unit in Sevilla,,1,2,1
720723145397486189,Rental unit in Sevilla · 1 bedroom · 1 bed · 1 bath,480408885,Pro-K Desarrollos Inmobiliarios,Casco Antiguo,Arenal,37.38563,-5.99488,Entire home/apt,300.0,1,0,,,4,120,0,VFT/SE/09224,Rental unit in Sevilla,,1,1,1
702998,Rental unit in Sevilla · 4.59 · 1 bedroom · 1 bed · 1 bath,3609455,Javier,Casco Antiguo,Santa Catalina,37.3908,-5.98543,Entire home/apt,60.0,3,344,2023-12-23,4.57,1,51,66,CTC-2018127385,Rental unit in Sevilla,4.59,1,1,1
21483847,Serviced apartment in Seville · 4.77 · 2 bedrooms · 4 beds · 2 baths,15440678,Macarena,Casco Antiguo,Alfalfa,37.38961,-5.99219,Hotel room,129.0,2,26,2023-10-09,0.39,31,149,9,A/SE/00236,Serviced apartment in Seville,4.77,2,4,2
32004035,Rental unit in Sevilla · 4.90 · 1 bedroom · 1 bed · 0 baths,123493257,Magno Apartments,Casco Antiguo,San Gil,37.4007,-5.98755,Entire home/apt,137.0,1,40,2022-10-18,0.73,25,304,0,CTC-2018194943,Rental unit in Sevilla,4.90,1,1,0
17052501,Loft in Sevilla · 4.30 · 1 bedroom · 2 beds · 1 bath,19949618,Carlos,Casco Antiguo,"Encarnación, Regina",37.39393,-5.99368,Entire home/apt,81.0,2,476,2023-12-08,5.67,2,306,72,VFT/SE/04838,Loft in Sevilla,4.30,1,2,1
1009241767445941100,Rental unit in Sevilla · New · 1 bedroom · 1 bed · 1 bath,457717180,Maximo,Casco Antiguo,Alfalfa,37.3903679,-5.9945015,Entire home/apt,93.0,1,0,,,3,223,0,VFT/SE/06723,Rental unit in Sevilla,,,1,1
912095084243697265,Rental unit in Sevilla · 1 bedroom · 1 bed · 1 bath,519550727,Ana,Casco Antiguo,San Julián,37.3948257,-5.9872701,Entire home/apt,,2,0,,,1,222,0,VFT/SE/07399,Rental unit in Sevilla,,1,1,1
36125503,Rental unit in Sevilla · 2 bedrooms · 5 beds · 2 baths,271512676,Oscar,Casco Antiguo,Santa Cruz,37.38421,-5.992,Entire home/apt,450.0,2,1,2019-12-30,0.02,4,266,0,A/SE/00177,Rental unit in Sevilla,,2,5,2
780529029199390655,Rental unit in Sevilla · 4.38 · 5 bedrooms · 5 beds · 3 baths,491207974,Rufino Alejandro,Casco Antiguo,Santa Catalina,37.392893,-5.9863022,Entire home/apt,386.0,1,8,2023-11-12,0.78,1,306,8,VFT/SE/03828,Rental unit in Sevilla,4.38,5,5,3
898365554487557867,Rental unit in Sevilla · 1 bedroom · 1 bed · 2 shared baths,3998085,Adelaida (Heidy),Nervión,La Florida,37.38698881141371,-5.981912836432457,Private room,70.0,2,2,2023-12-11,0.71,3,90,2,VFT/SE/08400,Rental unit in Sevilla,,1,1,2
820869316564284359,Rental unit in Sevilla · 5.0 · 1 bedroom · 1 bed · 1 bath,467097879,Macarena,Casco Antiguo,San Julián,37.3980497,-5.9860562,Entire home/apt,112.0,2,6,2023-11-01,0.69,1,172,6,VFT/SE/03568,Rental unit in Sevilla,5.0,1,1,1
51897847,Rental unit in Sevilla · 4.81 · 2 bedrooms · 2 beds · 1.5 baths,182169184,Maria Elena,Casco Antiguo,San Gil,37.40036,-5.99116,Entire home/apt,117.0,1,72,2023-12-10,2.64,49,112,28,CTC-2021029320,Rental unit in Sevilla,4.81,2,2,1.5
53506123,Rental unit in Sevilla · 4.53 · 1 bedroom · 1 bed · 1 bath,287871445,Juan Y,Casco Antiguo,Santa Cruz,37.38415,-5.98977,Entire home/apt,151.0,2,45,2023-12-03,1.79,60,169,17,VFT/SE/03143,Rental unit in Sevilla,4.53,1,1,1
43609452,Rental unit in Sevilla · 5.0 · 2 bedrooms · 2 beds · 2 baths,32538713,Marisela,Casco Antiguo,San Vicente,37.39667,-5.99695,Entire home/apt,140.0,2,68,2023-12-08,4.29,3,126,49,VFT/SE/06860,Rental unit in Sevilla,5.0,2,2,2
34277043,Rental unit in Sevilla · 1 bedroom · 1 bed · 1 bath,36422209,Singular,Casco Antiguo,Arenal,37.38627,-5.99652,Entire home/apt,2000.0,1,0,,,3,365,0,A/SE/00122,Rental unit in Sevilla,,1,1,1
18830135,Rental unit in Sevilla · 4.64 · 1 bedroom · 1 bed · 1 bath,123493257,Magno Apartments,Casco Antiguo,Alfalfa,37.3923,-5.98867,Entire home/apt,139.0,1,207,2023-08-19,2.62,25,163,1,VFT/SE/02844,Rental unit in Sevilla,4.64,1,1,1
19981098,Rental unit in Sevilla · 3.55 · 1 bedroom · 2 beds · 1 bath,134864103,Alberto,Casco Antiguo,Alfalfa,37.38937,-5.9922,Entire home/apt,71.0,1,11,2023-05-28,0.54,35,319,3,VFT/SE/02078,Rental unit in Sevilla,3.55,1,2,1
42803124,Rental unit in Sevilla · 4.69 · 1 bedroom · 1 bed · 1 bath,3451296,Boutike,Casco Antiguo,Santa Cruz,37.38542,-5.99074,Entire home/apt,157.0,1,79,2023-11-28,2.56,25,0,35,VFT/SE/07014,Rental unit in Sevilla,4.69,1,1,1
15265757,Rental unit in Sevilla · 4.59 · 2 bedrooms · 3 beds · 2 baths,13228831,Laura,Casco Antiguo,Santa Catalina,37.39483,-5.98516,Entire home/apt,185.0,3,31,2023-12-09,0.36,2,0,5,VFT/SE/04218,Rental unit in Sevilla,4.59,2,3,2
14477228,Rental unit in Sevilla · 4.31 · 1 bedroom · 3 beds · 1 private bath,6353190,Blanca,Casco Antiguo,San Bartolomé,37.38897,-5.99006,Private room,54.0,2,127,2023-12-10,1.44,2,0,25,VFT/SE/03980,Rental unit in Sevilla,4.31,1,3,1
1846844,Rental unit in Sevilla · 4.68 · Studio · 1 bath,9239534,Rosario,Casco Antiguo,"Encarnación, Regina",37.39515,-5.99574,Entire home/apt,100.0,1,433,2023-12-25,3.5,2,0,59,VFT/SE/00176,Rental unit in Sevilla,4.68,,1,
4386673,Rental unit in Sevilla · 4.83 · 1 bedroom · 2 beds · 1 private bath,22770496,Salud,Sur,Huerta de la Salud,37.37864,-5.98309,Private room,53.0,1,1039,2023-12-24,9.36,1,0,149,,Rental unit in Sevilla,4.83,1,2,1
42308283,Rental unit in Sevilla · 4.74 · 1 bedroom · 1 bed · 1 bath,313507914,La Hospedería,Casco Antiguo,Museo,37.38928,-5.99883,Entire home/apt,84.0,2,65,2023-12-10,2.34,3,155,26,VFT/SE/06136,Rental unit in Sevilla,4.74,1,1,1
