id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
887575559538281046,CituSpace Las Tablas-Apartment w Terrace & Parking,31772865,CituSpace,Fuencarral - El Pardo,Valverde,40.50088,-3.67089,Entire home/apt,180,1,4,2024-12-09,0.75,73,37,4,
887603110826945759,Lovely room in lovely area,442079464,Maria,Arganzuela,Chopera,40.39327087318697,-3.7001087778821944,Private room,70,1,12,2024-11-10,0.63,1,365,5,
887642069395810122,Como en mi casa en ningún sitio,513945068,Lucy,Puente de Vallecas,Portazgo,40.39107,-3.64512,Private room,51,1,107,2024-11-27,5.56,1,248,63,
887654288236206442,Habitación cerca del centro de Madrid,513096419,Jonnathan,Latina,Puerta del Angel,40.41061,-3.73637,Private room,35,1,4,2023-07-09,0.21,1,365,0,
887657471921108510,Art & Chic in Trendy Chueca,6365055,Ana & Ricardo,Centro,Justicia,40.421952260890244,-3.6982843577943085,Entire home/apt,109,6,37,2024-11-26,2.07,9,14,26,
890813303955543522,Habitación privada + wifi + tv,333712570,Andrea,Latina,Puerta del Angel,40.40563168779854,-3.7400286452627753,Private room,40,1,36,2024-12-11,1.90,4,9,29,
891045949214898982,Apartamento en centro de Madrid,512825154,Eloy,Centro,Sol,40.41559741656031,-3.707388310723377,Entire home/apt,,2,0,,,1,0,0,
891086500444251032,Cama de matrimonio en Nuevos Ministerios,35865927,Josu,Chamberí,Rios Rosas,40.44371277301852,-3.6994676631160446,Private room,142,5,46,2024-10-27,2.46,12,365,14,
891114979627484359,Amplia y luminosa habitación.,83784554,Romain,Latina,Aluche,40.40094,-3.76091,Private room,,2,5,2023-06-04,0.26,1,0,0,
891254540570623308,Habitación baño privado V2,223652983,Guillermo,Ciudad Lineal,Ventas,40.431202303936104,-3.654553852526655,Private room,59,1,1,2023-08-11,0.06,7,345,0,
891268573011807208,Hermoso apartamento en el centro,385989386,Angel,Chamberí,Arapiles,40.430079172692274,-3.7060232833027835,Private room,100,1,15,2024-07-14,1.41,1,361,15,
891341871748080640,Flat in the centre of Malasaña - Gran Vía,291253690,Francisco Andres,Centro,Universidad,40.42789,-3.70892,Entire home/apt,225,1,11,2024-07-28,0.59,328,149,8,
891365945069485903,apartamento en usera,505985727,Margoth,Usera,Pradolongo,40.38143539381611,-3.706751838326454,Entire home/apt,70,1,114,2024-12-08,5.98,1,60,81,
881313547907524101,Luxury Flat near Plaza Mayor & Puerta del Sol,14660509,Isaac,Centro,Sol,40.415112868400875,-3.7079157964692198,Entire home/apt,196,30,12,2024-11-01,0.73,1,155,4,
881562901419028540,Habitación privada en Malasaña,280051620,Norber,Centro,Universidad,40.4245,-3.7028,Private room,,1,10,2024-06-26,0.51,1,0,8,
881599131532463680,4 Magnífico apto cerca de centro Madrid,75630494,Francesco,Puente de Vallecas,Numancia,40.39961,-3.66531,Entire home/apt,89,1,34,2024-12-08,2.03,4,65,25,
881610169503537181,Habitación en Madrid,499823566,Sheilla Siméia,Usera,San Fermín,40.36800403718355,-3.6895341070725416,Private room,40,1,49,2024-12-01,2.77,2,158,38,
881632242820115278,Comfortable room near El Retiro Park,512586048,Giovanna,Ciudad Lineal,Ventas,40.42475607128944,-3.6550788194828963,Private room,41,1,68,2024-11-03,3.49,1,152,45,
881655562211241963,"Gorgeous bright sunny Apmnt.adj IE,Gardenview,WIFI",466924165,Pierre Paul,Salamanca,Castellana,40.43536,-3.68125,Entire home/apt,55,1,24,2024-11-26,1.29,5,255,17,
881672056387935105,Caja Mágica阳光高档封闭小区内独立房间出租,512584596,Wenjun,Usera,San Fermín,40.36593745877262,-3.6869648471474648,Private room,42,1,27,2024-12-08,1.38,3,90,17,
881677534130371232,Apartamento en Madrid,483408501,Audrey,Centro,Embajadores,40.40913756321503,-3.69984141572526,Entire home/apt,,4,65,2024-10-28,3.32,1,11,23,
